,mean(bx),max(bx),std(bx),min(bx),cv(bx),minmax(bx),mean(by),max(by),std(by),min(by),cv(by),minmax(by),mean(bz),max(bz),std(bz),min(bz),cv(bz),minmax(bz),mean(bt),max(bt),std(bt),min(bt),cv(bt),minmax(bt),mean(vt),max(vt),std(vt),min(vt),cv(vt),minmax(vt),mean(np),max(np),std(np),min(np),cv(np),minmax(np),mean(tp),max(tp),std(tp),min(tp),cv(tp),minmax(tp),Target
132,-6.575521857262962,-1.81602653355198,1.9616658871676917,-10.434760117993093,0.29832854787045426,5.745929327135803,6.7634488785099025,11.964685074043636,3.2073658876241558,-6.24877863722207,0.4742204672848493,-0.5222685426780068,1.8205793758419007,8.476235062115725,2.7748808472546367,-5.317531572337021,1.524174602918059,-0.6273459305185585,10.655468692096761,12.78675166920825,0.7697514855325164,8.989121992444952,0.0722400400935387,0.7030027817066032,7.20839510082414,9.736601996964167,0.7000774641644399,5.669023074831246,0.09711974085388296,0.5822383493336613,481.35444265814544,526.2426057563077,16.011896213318177,433.18982774017167,0.033264253519500006,0.8231751344374671,238129.68978021963,434167.5746095067,60738.88829137562,83175.2564680824,0.25506642345788216,0.1915740864409112,-12.376904624219963
133,-0.9984914629633173,4.132158358190832,2.241676244130417,-3.78733911872621,2.2450630048228786,-0.9165522689174979,2.9800665909692277,4.8490736022368655,0.9619448743585672,0.7642477101989624,0.3227930802867419,0.15760695194364896,0.8981434755455916,4.7936161032258795,2.3950870682267897,-3.504600773304861,2.666708753600705,-0.7310975050643769,4.695520843143347,5.689702123134392,0.5687004410791778,3.163852689368825,0.1211155184008234,0.5560664901075515,5.538146939351183,6.233249228722818,0.30432688689062326,4.82515043220878,0.054951031495433095,0.7740987493287581,347.7253183362933,366.2346883789895,6.948908138772172,336.2446971002333,0.01998390043043032,0.9181126413461912,60789.27828292131,133225.60366584148,18126.19594475071,35343.43068073738,0.2981808051806275,0.2652900771940679,-6.8588240662500715
134,0.21766418826849007,4.747546834902658,2.05693538943961,-4.632159635247479,9.450040476582064,-0.9756954057184052,-3.130681610465022,6.917939886893448,4.664917099131936,-9.137414719602448,1.4900643628334418,-1.3208288694317742,0.6992738238708449,10.216337219051123,3.5026690095912674,-7.905603997833833,5.009009189278914,-0.7738197974800299,6.789781820803999,10.51187340583031,1.5803533403775918,1.3982451501793238,0.23275465723145392,0.13301579044928383,23.46870833736395,41.07664483757928,9.498596936690921,6.096776541017959,0.40473454270035136,0.14842440430870527,377.6736365125783,410.54953497972986,8.874653231626143,348.2248603364174,0.023498206847516016,0.8481920710337922,46926.810631039734,89342.78503022774,11211.214955049569,25911.192312644765,0.2389085216806512,0.29001997535534757,-8.893682302559823
135,2.0886870514811258,16.550629309557664,7.668801257826216,-12.39065364386879,3.6715894094273867,-0.748651511197428,2.902804475313717,19.020642495313894,4.793715871564524,-14.258333351229973,1.6514084611387576,-0.7496241704107941,1.5858076577850417,13.242406405215613,4.273389284293837,-7.536417779530873,2.694771502278305,-0.56911240668181,9.929027143453425,21.02605465844698,4.095140278113199,3.7998055871320577,0.41244124111527647,0.18071890560816783,2.7872527364456716,7.146353922071592,0.6982676959253538,1.2163575657995866,0.2505218442500448,0.17020673465987363,566.7721277577273,744.7484865584753,77.56277552773263,449.8393289066818,0.13685001736868693,0.6040150964057875,755471.3769966142,2081019.4862519125,326840.4431260071,68662.02679915968,0.43263114007755704,0.03299441800173897,-7.766985864960168
136,-1.9405548096552314,11.108192326599893,4.937149607227404,-10.455768224571072,2.544194878012522,-0.9412664020529683,-2.7394349783798995,9.104356926906972,4.7980735848440235,-11.800670721406092,1.7514829235631655,-1.296156424462056,6.981857297203608,18.519730440738357,6.048107176553914,-8.249983898349743,0.8662604976152001,-0.4454699772628455,11.616862353532108,19.849533514669808,3.0069343418933685,4.64724472133758,0.2588422114667744,0.23412362400874714,26.308544463549154,54.58983465540553,10.835265981541454,14.613333405409726,0.41185349484285844,0.2676933076946534,493.97273211275007,532.5272300758155,22.62998635295236,414.4292976553976,0.045812217723360145,0.7782311856548548,226418.65974543916,585054.2609391718,89805.20932945677,63094.31570929875,0.39663342866892737,0.10784352823619327,-25.14903063739336
137,-0.8400861905773942,3.2962431977883773,1.720428699047565,-7.548223151113356,2.04791927107516,-2.2899472818564646,3.4845243716518746,9.089413897261746,2.7662558941573763,-3.014598632551555,0.7938690045224176,-0.3316603981979218,0.7383893495236253,10.83119313293244,4.792911715701046,-6.624145336574762,6.491035818424536,-0.6115803914929675,6.564631754983283,11.100499234268701,1.9704144112752058,1.5317383915016296,0.30015612220433274,0.13798824351727818,10.984035784737072,21.14332158444634,4.834147133440346,4.096076899737939,0.4401066446048602,0.19372911126467168,375.92467101498085,398.1026864006975,8.848639058139673,355.68230699213814,0.023538330257093048,0.8934436243269595,57776.91483686275,208357.89243244735,26572.895087545723,14283.271384332416,0.4599223610775375,0.06855162152767148,-15.745743289732728
138,-2.3620073218742172,3.2347815452371473,1.0286283502330422,-4.389195537293038,0.43548906081156474,-1.3568754105684928,-0.459206010415414,4.108349433751025,2.027203622369821,-4.455767125022364,4.414584252797434,-1.084563812517315,2.758039839478422,4.556253723981748,1.3415749022910317,-3.2411473381872384,0.4864233224944058,-0.7113623460272912,4.380109811206005,6.291351961224232,1.0857368808444208,1.7755874380046734,0.24787891802773723,0.2822266897398572,11.837640362275863,17.310304064472444,2.2143127647784318,6.801280290688196,0.18705693846173882,0.392903571500347,391.1979707068381,402.21814056009094,5.601045808634368,370.584440303774,0.014317676031176976,0.9213518808170441,49321.364124448715,80262.1712688731,12371.125399171691,27117.346401525563,0.2508269107877188,0.3378596164647004,-4.849927499937398
139,-3.157800576285654,-0.8862541267747678,0.9492955291440076,-5.046578750642089,0.3006192146119029,5.694279550502589,3.6769963629489024,5.835417683958061,1.2648445224867124,0.4312735617558244,0.34398851607030795,0.07390620262563606,-0.08312329935659275,2.2988703893459714,1.2332198323001877,-2.456825355394884,14.83603083426425,-1.0687098179962424,5.234001488393726,6.168271232687486,0.3549217626655122,4.457120707362546,0.06781078749261779,0.7225883135201563,16.044838017101622,21.289604866283774,2.9307337227379504,9.826182539840165,0.18265897852095395,0.46154837544222505,383.2916862107222,394.7584196574451,5.257788311964902,374.23176895174106,0.013717459838339222,0.9480019939194301,37636.9869761458,73688.47754751467,11643.139269164942,23896.93063813983,0.309353649285059,0.3242967073479158,-8.245257195466118
140,2.2076151295981474,6.749360019685202,2.934661547776785,-3.9307127300310123,1.3293356746975102,-0.5823830286970445,3.188670125658651,8.40092025639101,3.268120961784479,-5.54296597419111,1.0249166056678303,-0.6598046172351525,-0.17131764879913586,2.933935369982433,1.4275502631117098,-2.971451527231352,8.332768241440577,-1.0127869746664335,5.9351184569803515,8.70856351529918,1.0842754002857786,4.091274538760782,0.182688080810005,0.46979901238283933,19.69994764010297,24.39229167709447,2.838331267245313,11.798500928806803,0.1440781122416464,0.48369792740245726,365.5576346547501,381.797625813875,9.582739959069414,339.3938023000696,0.02621403316639743,0.8889363876388348,29006.091916195703,41689.485237061344,3598.1413631445425,21711.29485897643,0.12404778187769244,0.5207858704783288,-4.616646439628806
141,-2.549211354389681,2.5219960735446323,1.687092055712849,-5.086404750708386,0.6618094073713099,-2.016817077577568,1.740031228065036,4.879830162966983,1.4641021280653346,-1.5625653535974937,0.8414229034805643,-0.32020896248721886,-0.20398252743735823,3.2173077322476096,1.453884959037376,-3.6384399016686824,7.127497522962377,-1.1308958310701818,4.029556244647588,5.203608027128869,0.6588844107141353,2.625405920995837,0.1635128958900434,0.50453568126353,8.837406088462473,11.81173770435179,1.1953327823033362,3.830966235964132,0.1352583292357565,0.3243355323199136,379.722906273795,397.14371725554474,8.343672667507839,352.74078985090426,0.021973055956470866,0.8881943098294839,87348.42555703415,205733.84869132447,30953.272168908974,23807.321876492053,0.3543655420405722,0.11571903227364247,-0.05969759534601715
